question,context,options,consensus,implied_comment
Can you type my report while I make these phone calls?,A stressed project leader asks their team member while delegating tasks for a tight deadline.,"A. Typing the report is non-negotiable and must be done now. 
B. Please type my report for me while I am on the phone 
C. You're doing a great job handling multiple tasks! 
D. It's your responsibility to type the report. 
E. You should focus on your assigned tasks instead.",B,Typing the report is non-negotiable and must be done now.
Are you planning to repaint the bedroom?,A friend sarcastically asks after noticing the poor paint job their friend just completed.,"A. I want to know if you have plans to repaint the bedroom 
B. I think we should repaint the bedroom. 
C. I want you to repaint the bedroom soon. 
D. The current paint job looks bad. 
E. The paint job is terrible and needs to be redone.",E,The current paint job looks bad.
Did you eat all the cookies?,"A roommate asks another after discovering the cookies are gone, with a light-hearted, teasing tone and a knowing look.","A. I am unhappy that all the cookies are gone 
B. You really enjoyed those cookies! 
C. I don't believe it was you who finished them off. 
D. Perhaps it's time to buy more cookies. 
E. Please bake or buy more cookies.",B,I don't believe it was you who finished them off.
Can you zip up my dress?,A fashion model asks an assistant before stepping onto the runway in a busy backstage area.,"A. This dress is incredibly impractical. 
B. This dress design is far too complicated. 
C. Hurry up and zip up my dress now. 
D. Please help me by zipping up my dress 
E. I want to be certain my dress is perfectly in place for the show.",D,I want to be certain my dress is perfectly in place for the show.
Do you know the way to the nearest bus stop?,"A friendly local asks a confused-looking tourist nursing a map, offering a reassuring smile.","A. Can you show me how to get to the bus stop? 
B. I would like to know the way to the nearest bus stop 
C. You can do this, just give it a try. 
D. I doubt you actually know the way to the bus stop. 
E. I can ensure you find the bus stop.",E,"You can do this, just give it a try."
Do you remember the password to the Wi-Fi?,"During a technical meeting, an IT manager asks their assistant amid a disagreement over network issues.","A. Stop using the Wi-Fi without permission. 
B. I would like you to tell me the Wi-Fi password if you remember it 
C. Be cautious about who you give the password to. 
D. I'm sorry for changing the password and not informing you. 
E. The problem isn't with the password but with something else.",B,The problem isn't with the password but with something else.
Can I have your opinion on this outfit?,"A person asks their best friend with a confident smile, having complimented them earlier about their fashion sense.","A. I apologize for not respecting your taste in clothing. 
B. Please share your thoughts on my outfit 
C. I know this outfit is going to grab attention. 
D. I'm wearing this regardless of what you think. 
E. I know you'll approve this choice.",E,I know you'll approve this choice.
Do you want to watch a movie or play a board game?,A host asks a guest just after they arrived for a casual get-together in a friendly and accommodating tone.,"A. I am suggesting we spend time together by watching a movie or playing a board game 
B. I want to help you lift your spirits by doing something fun together. 
C. I'm frustrated that nobody is having fun. 
D. I really want to play the board game with you. 
E. I want to make sure you feel entertained and comfortable.",E,I want to make sure you feel entertained and comfortable.
Did you register for the competition?,A coach asks a player after repeatedly assuring them of sponsorship for the event.,"A. I want to know if you registered for the competition 
B. I think you should sign up and it'll be great. 
C. You need to register for the competition soon. 
D. If you register, I'll make sure you're covered financially. 
E. I'm sorry, I forgot to register you myself.",D,"If you register, I'll make sure you're covered financially."
Can you help me revise for my test?,A student asks a classmate in a serious tone after complaining about how poorly everyone did on a previous test.,"A. Please assist me in preparing for my test 
B. I need you to be aware that I have a test coming up. 
C. Congratulations on doing so well on your test! 
D. Be prepared, this subject is really hard. 
E. You must assist me with my test preparation.",D,"Be prepared, this subject is really hard."
Can you help me revise for my test?,"A mentoring upperclassman, known for tutoring, asks a younger student with a nod, after receiving several benefits like free access to study resources.","A. Stop socializing and help me with this task. 
B. You can count on me for future help and guidance. 
C. You won't actually be of help. 
D. Please assist me in preparing for my test 
E. I regret not accepting your help earlier.",B,You can count on me for future help and guidance.
Can you help me assemble this table?,"A person with a stern voice and menacing expression asks their partner, who has been procrastinating home improvement tasks.","A. I don't actually want your help. 
B. If you don't help, there will be serious consequences. 
C. It's time for you to get involved and help out. 
D. Please assist me in assembling this table 
E. You've done a fantastic job in setting things up!",B,"If you don't help, there will be serious consequences."
What are your views on climate change?,"During a heated debate, a climate scientist asks a known climate change denier with a condescending smirk.","A. I promise to take strong action on climate change. 
B. You should not express personal views and focus on the team's directives. 
C. I want to know your opinions on climate change 
D. I doubt your views will be scientifically valid. 
E. Your opinion is irrelevant because it's uninformed.",E,Your opinion is irrelevant because it's uninformed.
Are you sure you have the tickets?,"In an airport, a leader of a tour group looks menacingly at their assistant after the assistant misplaced important travel documents in the past.","A. You probably misplaced the tickets again. 
B. Don't mess up again or you'll be in trouble. 
C. I want to be certain that you have secured the tickets 
D. You're likely to have forgotten them again. 
E. Get the tickets out quickly.",B,Don't mess up again or you'll be in trouble.
Can you unload the groceries from the car?,"A boss asks their assistant this routine question every week, trusting it will be done as usual.","A. You agreed to help with this task, correct? 
B. Please unload the groceries from the car 
C. I am certain you will do it. 
D. Well done on successfully completing your task! 
E. I'm not confident you will actually remember to do it.",C,I am certain you will do it.
Did you pay the utilities bill?,"A landlord sternly asks their tenant after multiple notices were ignored, with the tenant now facing eviction.","A. I want to know if the utilities bill has been paid 
B. Go and pay the utilities bill now. 
C. Of course, you forgot to pay the bill again. 
D. Pay now or face eviction. 
E. Great job on being responsible with payments!",D,Pay now or face eviction.
How's your project coming along?,"A manager who previously overloaded a team member with tasks meekly asks, noticing the stress on the employee's face.","A. I'm sorry for giving you so much work. 
B. I can see that you're overwhelmed and haven't had much time for the project. 
C. Keep up the good work and stay motivated! 
D. I want to know about the progress of your project 
E. Consider seeking help or utilizing more resources.",A,I'm sorry for giving you so much work.
What's your favorite thing about autumn?,"In a meeting, a manager asks their team while trying to refocus on work instead of continuing chit-chat about the season.","A. You are just grumpy and have nothing nice to say about the season. 
B. I'm sorry for not listening to you earlier. 
C. There are too many assignments and stresses this season. 
D. I am interested in knowing what you like most about autumn 
E. Stop talking and focus on work.",E,Stop talking and focus on work.
What movie should we watch tonight?,"A couple is sitting on the couch, and one partner can see a movie already playing on TV while the other asks the question with a knowing smile.","A. Let's watch the movie we always do. 
B. We're definitely having our movie night as planned. 
C. I want a suggestion for a movie to watch tonight 
D. I'm sorry for forgetting our anniversary, let's make the evening special. 
E. I'm open to your preference for tonight's movie.",A,Let's watch the movie we always do.
Can you buy some grocery on your way back?,"A tired husband asks his wife, during a conversation where she is listing things for him to do after work.","A. You cannot leave until your chores are done. 
B. You should not leave the office because there's work to finish. 
C. I can take care of the groceries since you're tired. 
D. Take care of it yourself because I'm too tired. 
E. Please purchase groceries while returning home",D,Take care of it yourself because I'm too tired.
Is it your turn to do the dishes?,"Two roommates are arguing over chore responsibilities, and one of them asks the question sarcastically while cleaning the kitchen.","A. I want to know if you are supposed to do the dishes now 
B. I'm proud of you for taking initiative at doing chores. 
C. Stop arguing about chores and just do the dishes. 
D. It's your week to do the dishes, so you should do them. 
E. You should not be doing the dishes now.",C,Stop arguing about chores and just do the dishes.
Are we leaving at 8 or 9 tomorrow?,"One friend asks another in a cheerful tone during a party, after the other friend just won an award or reached a significant milestone.","A. I'm excited about our trip tomorrow. 
B. Congratulations on your achievement, and let's celebrate by talking about our plans for tomorrow. 
C. We are leaving at 8 tomorrow, and that's final. 
D. I want to know the departure time for tomorrow 
E. Be on time tomorrow or face consequences.",B,"Congratulations on your achievement, and let's celebrate by talking about our plans for tomorrow."
Why did you choose this line of work?,A hiring manager asks a new employee enthusiastically to affirm their interest aligns with the company values.,"A. I'm not convinced this is a good career choice. 
B. I want to confirm that you're committed to this job. 
C. You shouldn't have chosen this career. 
D. I don't approve of this career choice. 
E. I want to know your reasons for choosing this profession",B,I want to confirm that you're committed to this job.
Do you have any tips for improving my English?,"A teacher asks a student after noticing they are not putting effort into practice, with a cautious tone.","A. I would like advice on how to improve my English skills 
B. Stop asking for advice if you're not going to follow it. 
C. I doubt that any tips will work for me. 
D. You need to start taking your studies seriously before it's too late. 
E. I believe this course will provide the tips I need.",D,You need to start taking your studies seriously before it's too late.
Do you use any language learning apps?,"During a social gathering, one person asks another after hearing them struggle with basic phrases in a language they claim to know.","A. I would like to know if you use language learning apps 
B. You really need to start using a language learning app. 
C. You need to start using language learning apps to study. 
D. I doubt you're practicing that language effectively. 
E. I heard that language apps might have privacy risks.",D,I doubt you're practicing that language effectively.
Should we invest in that property?,"A real estate agent enthusiastically asks their reluctant client, highlighting the property's potential.","A. This property is a bad idea. 
B. We should not invest in that property. 
C. This is a great opportunity and you should consider it. 
D. I believe this property is a good investment opportunity. 
E. I want to know if it is a good idea to invest in that property",C,This is a great opportunity and you should consider it.
What's your choice for the dessert?,A dinner host asks a guest disdainfully after the guest heavily criticized every dish served during the meal.,"A. You can't have dessert. 
B. I think your dessert choice will be bad. 
C. I would like to know which dessert you prefer 
D. Your opinions are irrelevant and unappreciated. 
E. Your dessert choice will be available regardless of the demand.",D,Your opinions are irrelevant and unappreciated.
Are you attending the conference next week?,"In a snappy tone, a busy senior manager asks a new hire who has not contributed much in team meetings.","A. I expect that you won't be there. 
B. I want to know if you are going to the conference next week 
C. I apologize for not informing you about the conference sooner. 
D. The conference might not be well-organized, so beware. 
E. You must attend the conference next week.",A,I expect that you won't be there.
Did we ever get a reply from the client?,"A team member asks this during a project discussion, showing eagerness to contribute to the next steps.","A. I can take over the communication if needed. 
B. Don't proceed without their confirmation. 
C. I believe we were already contacted by the client. 
D. Great job on getting the reply from the client! 
E. I want to know if the client has responded",A,I can take over the communication if needed.
How do you deal with stress?,A competitor mockingly asks an athlete who just lost their temper during a match.,"A. You need to handle stress better. 
B. I need advice on managing stress. 
C. You can't cope with pressure. 
D. I would like to know how you manage stress 
E. Your current stress levels might be dangerous and need addressing.",C,You can't cope with pressure.
Do you want cream and sugar in your coffee?,"A barista asks a regular customer this question with a bored expression, knowing they already know the answer since it's the same every day.","A. I am offering to add cream and sugar to your coffee 
B. I'm sure you'll want cream and sugar in your coffee. 
C. I need you to remind me how you like your coffee. 
D. I already know your answer, so why bother asking? 
E. You always complicate the order, and it's annoying.",D,"I already know your answer, so why bother asking?"
What time does the movie start?,A friend checks the ticket in a firm voice while looking at their watch because they are sure their group is late.,"A. Hurry up or we'll be late. 
B. I would like to know the start time of the movie 
C. We're running late for the movie. 
D. Congratulations on scoring the movie tickets! 
E. Can I have a ticket for the next showing?",C,We're running late for the movie.
Would you like me to walk your dog?,"In a condescending tone, a neighbor asks after seeing the dog's owner lounging around and neglecting their pet.","A. You should be walking your own dog more often. 
B. I am willing to walk your dog for you 
C. Please let me walk your dog as a way to repay you for past help. 
D. You are lazy and neglecting your dog's needs. 
E. You seem to be having trouble managing your dog.",D,You are lazy and neglecting your dog's needs.
What did you have for breakfast today?,"A health coach asks their client during a routine check-in, with a pointed expression, after commenting on poor energy levels.","A. I would like to know what you ate for breakfast today 
B. Please consider eating something healthier now. 
C. Your poor diet is affecting your performance. 
D. I will help you with a dietary plan. 
E. Your energy is low because you skipped breakfast.",E,Your energy is low because you skipped breakfast.
Did you sign up for the community service?,"A person asks this question sarcastically to someone who is known for being selfish and avoiding helping others, with a mocking grin.","A. I am certain you signed up because you always help out. 
B. I doubt you've actually committed to helping. 
C. I need to confirm your participation. 
D. I doubt you care enough to contribute. 
E. I want to know if you signed up for the community service",D,I doubt you care enough to contribute.
Should I pack your lunch for tomorrow?,A parent asks their teenager in a mocking tone after they made a mess in the kitchen while attempting to make their own lunch.,"A. Be responsible and pack your own lunch. 
B. I am happy to help you by packing your lunch. 
C. You are incapable of packing a decent lunch yourself. 
D. I am offering to pack your lunch for tomorrow 
E. There's no point since you never eat what I pack.",C,You are incapable of packing a decent lunch yourself.
Can you help me assemble this table?,"A skeptical friend asks this to their unreliable buddy who usually fails tasks, accompanied by an eye roll.","A. I don't think you can actually do it. 
B. I don't want you to help. 
C. I'm offering to help you assemble this table. 
D. Please assist me in assembling this table 
E. I doubt you can be helpful.",E,I doubt you can be helpful.
Where did you buy this dress?,"At a fashion critique event, a judge asks the designer with a dubious tone, doubting their sense of style.","A. You should not buy dresses from this place again. 
B. I'm definitely going to buy this same dress. 
C. Your dress looks like it came from a discount store. 
D. This dress is not fashionable. 
E. I want to know the store or location where you purchased this dress",D,This dress is not fashionable.
What time is the dinner reservation for?,"A person asks their friend in an exasperated tone, holding a watch, as they tend to the mess around a hastily prepared dining table.","A. We're clearly not ready for the dinner. 
B. Well done on getting that dinner reservation! 
C. You can't go to the dinner because it's too late. 
D. I would like to know the time of the dinner reservation 
E. We have very little time, so we should prepare to leave now.",A,We're clearly not ready for the dinner.
Did you get any response from the company?,"A mentor asks their mentee in a supportive tone after their mentee applied to several jobs, knowing the process can be discouraging.","A. I can help you with your job applications or offer a referral. 
B. I want to know if the company has replied 
C. Congratulations on your successful application! 
D. Keep your hopes up; something will come through. 
E. Reach out to them again if you haven't heard anything.",D,Keep your hopes up; something will come through.
Should I order pizza or Chinese for dinner?,"During a group meeting at work, where lunch is frequently ordered, one employee asks the question while already dialing the pizza place.","A. We're having pizza. 
B. I need help deciding between pizza and Chinese for dinner 
C. I really want to order pizza. 
D. I'm frustrated that I have to deal with dinner because of work. 
E. Ordering out goes against our diet commitments.",A,We're having pizza.
Did you receive the parcel I sent?,A friend who always has their gifts ignored asks after sending a birthday parcel.,"A. I took every step to ensure you would receive it. 
B. I want to know if my parcel reached you 
C. You never appreciate what I send you. 
D. I'm sorry for the inconvenience if it hasn't arrived. 
E. Please check the parcel and let me know your thoughts.",C,You never appreciate what I send you.
Do you know how to use this app?,"In a stern voice, an employer asks an employee during a performance review about a crucial app they failed to use properly.","A. I would like to know if you can use this app 
B. You obviously don't know how to use this app. 
C. I don't think you know how to use this app. 
D. Start using this app and complete your tasks with it. 
E. You better learn quickly or lose your job.",E,You better learn quickly or lose your job.
Should I buy this dress?,A mother tells her daughter with a disapproving tone as they stand in line at a high-end boutique.,"A. You should treat yourself to this dress to celebrate your new job. 
B. You deserve something nice, go ahead and buy it. 
C. You shouldn't spend so much money on such a trivial item. 
D. You're spending too much lately, don't buy the dress. 
E. I want your opinion on purchasing this dress",C,You shouldn't spend so much money on such a trivial item.
Are you attending the conference next week?,"A colleague smiles knowingly while asking another, as they both just heard the news that the conference venue is fully booked.","A. It's impossible for you to attend since it's already full. 
B. I suspect you won't end up going. 
C. You aren't authorized to attend the conference. 
D. I want to know if you are going to the conference next week 
E. It would be beneficial for you to attend the conference.",A,It's impossible for you to attend since it's already full.
Who recommended that TV series to you?,"Two friends discuss TV shows and one is laughing derisively at their friend's choice, in disbelief of its quality.","A. I want to know who suggested you watch that TV series 
B. You have terrible taste in TV shows. 
C. You are not allowed to watch series like this. 
D. I think that person has bad taste. 
E. I'm sure it was our friend who's great at picking shows.",B,You have terrible taste in TV shows.
Why did you choose this line of work?,"A mentor casually inquires during a networking event, while holding a brochure of job openings.","A. I can help connect you with other opportunities. 
B. I doubt this is the right career path for you. 
C. I want to know your reasons for choosing this profession 
D. You seem to lack the skills needed for this profession. 
E. Here's what motivated me to choose this career path.",A,I can help connect you with other opportunities.
Did you finish the report?,"A colleague mocking another colleague during a team meeting, where the latter's inability to complete tasks is a running joke.","A. I want to know if the report is completed 
B. You clearly haven't finished because you're wasting time. 
C. You didn't meet the deadline, and I'm moving on without it. 
D. You're incompetent and unreliable. 
E. Failure to submit will result in disciplinary action.",D,You're incompetent and unreliable.
How long does it take to bake a pie?,"A chef, annoyed with a colleague's slow progress, sarcastically asks during a cooking competition.","A. Can we bake a pie together? 
B. You are taking too long and I can't believe you are still not done. 
C. I can't believe how much you're holding up the process. 
D. We'll have a delicious pie soon. 
E. I would like to know the baking time for a pie",B,You are taking too long and I can't believe you are still not done.
Have you called the plumber yet?,A tenant asks their roommate after being told not to worry about a persistent plumbing issue.,"A. The leak is still not fixed and it's frustrating that you haven't called yet. 
B. I want to know if you have contacted the plumber 
C. Do you want me to handle calling the plumber? 
D. I disagree that we shouldn't worry about this plumbing issue. 
E. You should call the plumber right away.",D,I disagree that we shouldn't worry about this plumbing issue.
Can you play that song again?,A friend asks another during a gathering after noticing a guest showing interest in a particular song.,"A. Please stop playing that song repeatedly. 
B. I think I know that song, play it again to confirm. 
C. Please play the song again 
D. The song is awful and I wish you'd stop playing it. 
E. I can show you how to play it if you're interested.",C,I can show you how to play it if you're interested.
How do you manage such a busy schedule?,"A company executive, impressed by an applicant's resume, asks during an interview, ensuring the applicant can handle a high workload.","A. I need advice on managing my daily responsibilities too. 
B. You clearly have the skills we need to handle our demanding environment. 
C. It's impressive that you handle such a busy schedule 
D. I am overwhelmed while you have it easy. 
E. I don't believe you are as busy as you claim.",C,You clearly have the skills we need to handle our demanding environment.
Do you think it’s going to rain today?,A friend asks their companion this question while holding an umbrella and glancing at the darkening sky.,"A. I want to know your opinion on the weather forecast for today 
B. I brought an umbrella and can share it with you. 
C. The weather is ruining our plans. 
D. We need to decide whether to bring umbrellas or a tarp. 
E. It's definitely going to rain.",E,I brought an umbrella and can share it with you.
Can you help me set up this tent?,A parent asks their child while holding a packed picnic basket and looking towards a fun activity set up nearby.,"A. I promise we'll do something fun together afterward. 
B. Watch and learn, this is how you set up a tent. 
C. You must help me set up this tent now. 
D. Please assist me in setting up this tent 
E. I'm instructing you to help set up this tent.",D,I promise we'll do something fun together afterward.
Do you have any special plans for the weekend?,"Two friends are chatting on a Thursday afternoon, and one asks the other in a hopeful tone.","A. Hello, how are you today? 
B. I want to make sure you're available for our plan. 
C. Be prepared to cancel your plans for work. 
D. Are you free to hang out this weekend? 
E. I am curious to know what you are planning for the weekend",D,I want to make sure you're available for our plan.
Can you warm up the leftovers?,"In a restaurant setting, a waitress asks the kitchen staff softly, looking at a plate meant for reheating.","A. I trust you to heat up the leftovers for dinner. 
B. Please warm up the leftovers 
C. Heat the leftovers, please. 
D. You're useless in the kitchen. 
E. Is it okay if I prepare this for serving by warming it up?",B,Is it okay if I prepare this for serving by warming it up?
How do you prefer your eggs?,"A host at a brunch event asks an attendee, aware they have specific preferences.","A. I want to know how you like your eggs prepared 
B. I'll ensure your eggs are prepared to your preference, as always. 
C. Congratulations on your promotion, I'm treating you to your favorite breakfast. 
D. I'm making sure your preference hasn't changed. 
E. You probably don't have a real preference.",B,I'm making sure your preference hasn't changed.
What on earth were you thinking?,A teacher exasperatedly asks a student after they submit a blank test paper.,"A. Your effort was nonexistent and not worth consideration. 
B. Your decision ensured outstanding results. 
C. Your actions seem unreasonable or surprising to me 
D. Don't submit such work again. 
E. Your creativity and approach were brilliant!",C,Your effort was nonexistent and not worth consideration.
Doesn't it always rain when we plan to go outside?,"A parent turns to their children with an umbrella in hand, noticing the forecast of a storm after scheduling a family picnic.","A. I doubt it always rains when we plan something. 
B. We should cancel our outdoor plans. 
C. We need to have a backup plan. 
D. I actually think we've had many sunny outings. 
E. It seems to rain every time we plan to go outside",E,We need to have a backup plan.
Can you help me figure this out?,"A project manager, irritated by a team member's previous slacking, asks pointedly during the final deadline meeting.","A. Please assist me in understanding this 
B. I don't think you actually need help. 
C. If you don't contribute, the project will fail. 
D. You've been no help at all and it's frustrating. 
E. It's part of your job to solve this.",D,"If you don't contribute, the project will fail."
What time do we need to check out of the hotel?,A tour guide asks the hotel receptionist in a commanding tone while leading a group of tourists gathering near the lobby.,"A. It's unacceptable that the room isn't ready. 
B. We should start packing and get ready to leave. 
C. Make sure everything is ready for our departure. 
D. I want to know what time we must leave the hotel room 
E. I'm not sure we're going to make the checkout time.",D,Make sure everything is ready for our departure.
Can you fix my laptop?,"During a Q&amp;A session after a tech repair demonstration, an audience member raises their hand and asks the expert with a curious expression.","A. Repair my laptop as your service duty. 
B. I believe you have the expertise to help with this. 
C. Please help me by fixing my laptop 
D. Congratulations on your promotion for your technical skills! 
E. Why don't you ask the tech expert for help?",B,
Did you mute the television?,"A parent walks into the room and finds the TV blaring despite having told their child to keep it quiet, and asks with a stern expression.","A. TVs should not be heard in this area. 
B. You didn't mute the television. 
C. I doubt the TV is muted, despite what you said. 
D. If you didn't, there will be consequences. 
E. I want to know if the television is muted",B,"If you didn't, there will be consequences."
Have you seen my car keys?,A parent in a stern voice asks their teenage child after repeatedly warning them about borrowing things without permission.,"A. I believe you have my car keys. 
B. I want to know if you have seen my car keys 
C. I think you took them without asking. 
D. Don't take my car without asking. 
E. You're not allowed to take the car.",C,Don't take my car without asking.
Who taught you to ride a bike?,An older sibling sees their younger brother riding a bike the wrong way and says this in a stern voice.,"A. You clearly didn't learn how to ride properly. 
B. I can give you some tips or teach you how to ride better. 
C. You need to relearn because you're riding poorly. 
D. You should stop riding the bike right now. 
E. I want to know who taught you bike riding",A,You should stop riding the bike right now.
Is this your handwriting?,"In an office, a manager shows a neat, well-organized report in a meeting, speaking to their employee with a smile.","A. Rewrite this with clearer handwriting. 
B. Your handwriting is impressive. 
C. This level of work is unacceptable and must improve. 
D. This is excellent work and deserves recognition. 
E. I want to know if you wrote this",B,This is excellent work and deserves recognition.
How often do you exercise?,An athlete asks a non-athlete jokingly during a discussion on workout habits.,"A. You're not as committed to fitness as you claim. 
B. I want to know the frequency of your exercise routine 
C. You need to stop exercising so much. 
D. You're not exercising as much as you should be doing. 
E. Your lack of exercise is harming your health.",D,You're not as committed to fitness as you claim.
Can you record my favorite show?,A friend smiles and asks excitedly after noticing their friend successfully setting up a new digital recorder for the first time.,"A. Please record my favorite show for me 
B. Record my favorite show now. 
C. Congratulations on setting up the new recorder! 
D. I can help you set up your DVR. 
E. The recording function should be working now.",A,Congratulations on setting up the new recorder!
Do I look like I was born yesterday?,"A boss addresses an employee who is attempting to make excuses for poor work performance, their tone sharp and eyes narrowed.","A. Provide a more reasonable excuse. 
B. I don't believe your excuse at all. 
C. I'm not convinced by this weak excuse. 
D. I know what's really happening, and I'm watching you closely. 
E. I want to express that I am not naive or easily fooled",E,"I know what's really happening, and I'm watching you closely."
Could it get any hotter today?,A television news anchor on a weather segment smiles knowingly at the camera as they report record temperatures are expected.,"A. It feels extremely hot today 
B. Congratulations on handling the challenging temperatures so well. 
C. This is already the hottest day possible. 
D. It's officially going to be hotter. 
E. Please bring more cold drinks or turn on the air conditioning.",A,It's officially going to be hotter.
Can I have your opinion on this outfit?,A retailer enthusiastically questions a famous stylist at the launch of a new clothing line.,"A. Your opinion wouldn't be valuable because you have no fashion sense. 
B. Please share your thoughts on my outfit 
C. I promise our brand will value your leadership and insights. 
D. I expect you won't like it, but I do. 
E. I'm wearing this regardless of what you think.",B,I promise our brand will value your leadership and insights.
Can you zip up my dress?,A person asks their partner this question while getting ready for a formal event and struggling with the zipper themselves.,"A. Don't continue with zipping; the dress is torn. 
B. I doubt you'll manage to zip it properly. 
C. I need to confirm your willingness to help me. 
D. Please help me by zipping up my dress 
E. I trust you to make sure my dress is zipped up correctly.",D,I need to confirm your willingness to help me.
Can you lend me some money until payday?,"A co-worker in a shared office, nervously asks their colleague with a hint of urgency.","A. Please lend me money temporarily 
B. There's a risk I won't be able to pay you back, so be careful. 
C. The delays in salary payments are unacceptable. 
D. Support each other during financial hardships. 
E. There's no way borrowing money is allowed or possible here.",A,"There's a risk I won't be able to pay you back, so be careful."
Doesn't it always rain when we plan to go outside?,"Two friends look at the weather app showing rain forecast, shaking their heads as one dejectedly asks the question.","A. I'm doubtful it will rain this time. 
B. It seems to rain every time we plan to go outside 
C. Make sure you're prepared for rain during our outing. 
D. Let's just not bother planning outdoor activities anymore. 
E. I'm suggesting we take umbrellas with us.",B,Let's just not bother planning outdoor activities anymore.
What's the temperature outside?,"A parent asks their child, who is busy on their phone, while holding a coat by the door.","A. Go outside and find out for me. 
B. It's cold outside; you will need to wear this coat. 
C. I want to know the current outdoor temperature 
D. Close the door or face consequences. 
E. It is too cold to be outside without a coat.",B,Go outside and find out for me.
Who are you inviting to your birthday party?,An event planner confidently asks their client with a reassuring tone during the party planning stage.,"A. I want to know who you are inviting to your birthday party 
B. I promise to manage the invitations professionally. 
C. You're inviting too many people. 
D. Let me know so I can help with the invitations. 
E. Your party seems unimportant without telling me.",D,I promise to manage the invitations professionally.
Can we plan a vacation soon?,"During a dinner celebration, a friend excitedly asks another friend who has just paid off all of their student loans.","A. I want to discuss planning a vacation together soon 
B. Our friendship might end if we don't make time for a vacation together. 
C. Let's do something exciting together. 
D. Well done on finally being debt-free! 
E. I have the money and time to ensure we will go on a vacation.",C,Well done on finally being debt-free!
Could you please turn down the volume?,"A parent, who had earlier ignored their child's preference for louder music, asks them to lower it with a sheepish expression.","A. You are being too loud and need to let others speak. 
B. You shouldn’t be playing music here at all. 
C. Your noise might prompt a complaint or police visit. 
D. I apologize for not considering your love for music. 
E. Please lower the volume",E,I apologize for not considering your love for music.
What time does the last train leave?,"A friend at a party asks another guest, knowing they promised to leave earlier to escort them back.","A. You'll need to leave by that time, or face consequences. 
B. We need to leave now to catch the last train. 
C. I apologize for making us stay longer than I planned. 
D. You can't have friends over that late. 
E. I want to know the departure time of the last train",B,I apologize for making us stay longer than I planned.
Can I carry your bag?,"A friend at the airport asks another who is burdened with heavy luggage, in a hopeful and eager tone.","A. You're always making me do the heavy lifting. 
B. I need your help, would you please carry one of mine in return? 
C. I'm joking about how I wish the service included carrying luggage all the way. 
D. I am offering to carry your bag 
E. Hand over your bag or I'll make you regret it.",D,"I need your help, would you please carry one of mine in return?"
Are you hosting Christmas this year?,"A friend asks during a holiday planning meeting, gesturing towards their calendar.","A. I doubt you're actually capable of hosting Christmas successfully. 
B. I want to know if you are organizing the Christmas gathering this year 
C. Of course not, your place is too small for everyone. 
D. If you are, I promise I'll bring the dessert. 
E. You are in charge of organizing the party this year.",B,"If you are, I promise I'll bring the dessert."
Where did you buy this dress?,A friend excitedly asks another friend as they admire the dress and are thinking about getting it for themselves.,"A. I want to buy this dress too. 
B. I want to know the store or location where you purchased this dress 
C. Your dress choice is fantastic; congratulations on your style. 
D. I believe you purchased it from that boutique you mentioned. 
E. I promise I'm going to get one for myself.",A,I promise I'm going to get one for myself.
What time is your appointment with the dentist?,A spouse reminds the other in an organizing manner during a discussion of the weekly schedule.,"A. You are neglecting important appointments. 
B. I will ensure we don't double-book anything. 
C. Stop worrying; it's just a routine appointment. 
D. I would like to know the time of your dentist appointment 
E. Tell me so I can manage our schedule accordingly.",E,I will ensure we don't double-book anything.
Can you show me how to use this software?,A colleague asks their coworker while flustered and observing an ongoing system malfunction due to errors.,"A. This software is so unreliable, isn’t it? 
B. Please demonstrate how to use this software 
C. You should stop using this software due to repeated mistakes. 
D. Improper use could cause serious issues. 
E. The instructions were unclear or insufficient.",B,Improper use could cause serious issues.
Isn't it a small world?,A well-traveled individual questions a novice traveler who just remarked on a chance encounter.,"A. Can you help with the preparations since we're from the same place? 
B. You're underestimating how diverse and expansive it is. 
C. Let's stick together for this trip. 
D. The world is surprisingly interconnected 
E. Sorry for not recognizing you, isn't it surprising to meet here?",D,You're underestimating how diverse and expansive it is.
Who are you inviting to your birthday party?,A friend smiles brightly while asking right after hearing about the party being planned.,"A. I want to know who you are inviting to your birthday party 
B. Be careful not to invite anyone who might cause problems. 
C. I do not consent to hosting a large party here. 
D. You should feel free to invite your friends. 
E. Congratulations on deciding to throw a party!",A,Congratulations on deciding to throw a party!
Should I set the alarm for 6 AM?,"In a group chat where weekend plans are being discussed, one person who dislikes early mornings asks this with feigned politeness.","A. I want your advice on setting an alarm for 6 AM 
B. I don't want to wake up early; let's sleep in. 
C. I'm not waking up early for this. 
D. I'm not looking forward to waking up early. 
E. You risk missing your exam if you don't wake up early.",D,I'm not waking up early for this.
Do you remember when we first met?,"A partner, while rolling their eyes, asks their significant other during a petty squabble.","A. I apologize for how I acted when we first met. 
B. You used to prioritize our friendship, but you don't anymore. 
C. You should remember how special this relationship is and not take it for granted. 
D. I want to know if you recall our first meeting 
E. What we're arguing about is trivial.",C,What we're arguing about is trivial.
Who taught you to ride a bike?,"A parent asks their child, who is struggling with balancing on a bike for the first time, using a gentle and supportive tone.","A. I doubt you know how to ride properly. 
B. I can help you learn to ride the bike better. 
C. I want to know who taught you bike riding 
D. Your biking is unacceptable and must stop. 
E. You're doing great and learning fast.",B,You're doing great and learning fast.
